"FORMULARIO","Depto","Mun","Fraccion","Radio","Viv","NroHogar","PM","Zon","Tipo_viv","CantidadPersonas","PersonaMayorCuatro","Personas_temporales","CantidadCochera","Hogar_Vehículo","CantidadVehículos","Tipo_vehículo_1","Propiedad_vehículo_1","MarcaVehículo_1","Combustible_1","Gasto_combustible_1","GastoCochera_1","GastoPatente_1","GastoSeguro_1","GastosTotal_1","MarcaVehículo_2","MarcaVehículo_3","HogarMoto","CantidadMotos","HogarCiclomotor","CantidadCiclomotores","HogarBicicleta","CantidadBicicletas","Plan_social","HogarIngresos","RangoIngresos","promedio_ingreso","IngresoT1","IngresoT2","HogarGastoTotal","RangoGastoTotal","promedio_gastototal","GastoT1","GastoT2","HogarGastosAlimentos","RangoGastosAlimentos","promedio_gasto_alimentos","GastoA1","HogarGastosTransporte","RangoGastosTransporte","Ingresoagregado_pers","IngresoTotalFinal","bienestar","FEX"
1,28,30,20,6,20,1,116,19,"Casa",5,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500","500","Indigente",68.3252474959917
2,28,30,20,6,135,1,116,19,"Casa",1,1,2,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","740","97","97","740","740","700","97","97","700","700","600","97","97","600","30","97","740","740","Pobre",68.3252474959917
4,28,30,19,21,66,1,113,6,"Casilla / Rancho aislado",4,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","97","720","720","Pobre",53.2079600765414
5,28,30,19,21,119,1,113,6,"Casa",4,2,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No","2000","97","97","2000","2000","2000","97","97","2000","2000","1500","97","97","1500","100","97","1000","2000","No Pobre",53.2079600765414
7,28,10,18,9,12,1,138,25,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2600","2600","No Pobre",52.5230442809888
8,28,10,18,9,39,1,138,25,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","150","98","50","80","130","NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","2000","97","97","2000","2000","2000","97","97","2000","2000","1500","97","97","1500","200","97","1800","2000","No Pobre",52.5230442809888
9,28,10,18,9,66,1,138,25,"Casa",6,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","2500","97","97","2500","2500","1000","97","97","1000","200","97","2600","2600","No Pobre",52.5230442809888
10,28,30,20,15,63,1,145,20,"Casa",6,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1410","97","97","1410","1410",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","97","1410","1410","No Pobre",73.5383009121882
12,28,30,20,15,29,1,145,20,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","300","Indigente",73.5383009121882
13,28,30,19,3,16,1,106,7,"Casa",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","300","98","25","175","200","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3500","97","97","3500","3500","2000","97","97","2000","2000","1000","97","97","1000","100","97","4400","4400","No Pobre",41.8207524687622
