"FORMULARIO","PersNro","PersID","ViajeID","LugarEntrevista","TipoEntrevista","InfNum","Sexo","Edad","edad_recodif","CapDif","CapDifMot","CapDifMen","CapDifVis","CapDifAud","CapDifHabla","CapDifOtras","RelacionJefeHogar","PSH","NivelEstudio","PersonaCursando","NivelEstudioCursando","DescripciónEstCurs","AmbitoEstudio","LicenciaConducir","OcupacionPrincipal","Desc_ocuprinc","OtraActividad","Cual_act","Rel_trab","CategoríaLaboral","AmbitoTrabajo","Desc_ambtrab","IngresoPersona","Cantidad_Dinero","RangoIngresos","promedio_ingreso","IngresoTotal","realizo_viajes","CantidadViajes","Enfermedad","Vacaciones","No_Trabajó","No_dinero_viajar","Trabajó_casa","Fuera_área","No_hay_transporte","No_transporte_discapacitados","Calles_intransitables","Paro_huelga","Sin_clases","Mal_tiempo","No_necesidad_viajar","Otro_motivo","Desc_otromotiv","Cons_sis","Cons_restolíneas","Usuario_frecuente","Razón_no_viaja","Seguridad","Limpieza","Espacio","Trato_conductor","Forma_conducción","Frecuencia","Información_frecuencias","Tiempo_espera","Accesibilidad_Distancia","Seguridad_Paradas","Bienestar","FEX"
1,1,101,10102,"Hogar","Personal",1,"Mujer",45,"31-50","No","97","97","97","97","97","97","Jefe del hogar","Si","Sin estudios","No","97","            ","97","No","Ama de casa","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Regulares","No","no viaja mucho ",8,10,10,10,8,6,6,98,5,6,"Indigente",68.3252474959917
1,2,102,10200,"Hogar","Personal",1,"Mujer",27,"19-30","No","97","97","97","97","97","97","Hijo / hijastro","No","Secundario / Polimodal","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Privado","            ","Si",500,"97",97,500,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","Regular","Regulares","No","no es necesario",4,4,4,2,2,8,1,98,8,5,"Indigente",68.3252474959917
1,3,103,10302,"Hogar","Personal",1,"Varón",8,"4-12","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"Indigente",68.3252474959917
1,4,104,10400,"Hogar","Personal",1,"Mujer",2,"0-3","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Menor de 4",97,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"Indigente",68.3252474959917
1,5,105,10500,"Hogar","Personal",1,"Varón",1,"0-3","No","97","97","97","97","97","97","Otro pariente","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Menor de 4",97,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"Indigente",68.3252474959917
2,1,201,20104,"Hogar","Personal",1,"Mujer",50,"31-50","No","97","97","97","97","97","97","Jefe del hogar","Si","Sin estudios","No","97","            ","97","No","Ama de casa","            ","No","          ","No corresponde responder","97","97","            ","Si",740,"97",97,740,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Muy bueno","Buenas","Sí","               ",9,8,1,10,10,10,10,10,10,8,"Pobre",68.3252474959917
4,1,401,40101,"Hogar","Personal",1,"Mujer",19,"19-30","No","97","97","97","97","97","97","Cónyugue","No","Primario / EGB","No","97","            ","97","No","Ama de casa","            ","Si","vende     ","Trabaja por su cuenta","Otros autónomos","Hogar / Familia","            ","Si",220,"97",97,220,"Si",1,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Buenas","Sí","               ",10,10,10,5,5,8,7,10,10,10,"Pobre",53.2079600765414
4,2,402,40201,"Hogar","Personal",1,"Varón",73,"66 ó +","No","97","97","97","97","97","97","Jefe del hogar","Si","Primario / EGB","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Trabaja por su cuenta","Comerciante sin personal","Hogar / Familia","            ","Si",500,"97",97,500,"Si",1,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Muy bueno","Regulares","Sí","               ",6,8,8,8,7,6,5,7,8,7,"Pobre",53.2079600765414
4,3,403,40300,"Hogar","Persona no encuestada",1,"Varón",3,"0-3","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Menor de 4",97,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"Pobre",53.2079600765414
4,4,404,40400,"Hogar","Persona no encuestada",1,"Mujer",1,"0-3","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Menor de 4",97,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"Pobre",53.2079600765414
5,1,501,50100,"Hogar","Personal",1,"Mujer",40,"31-50","No","97","97","97","97","97","97","Cónyugue","No","Primario / EGB","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Hogar / Familia","            ","Si",1000,"97",97,1000,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","98","98","No","               ",8,9,9,9,9,10,9,10,10,10,"No Pobre",53.2079600765414
5,2,502,50206,"Hogar","Personal",1,"Varón",54,"51-65","No","97","97","97","97","97","97","Jefe del hogar","Si","Secundario / Polimodal","No","97","            ","97","Si","Jubilado","            ","No","          ","No corresponde responder","97","97","            ","Si",1000,"97",97,1000,"Si",6,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Buenas","Sí","               ",98,98,98,98,98,98,98,98,98,98,"No Pobre",53.2079600765414
5,3,505,50502,"Hogar","Personal",1,"Varón",12,"4-12","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","Si","Primario / EGB","            ","Privado","97","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",53.2079600765414
5,4,506,50602,"Hogar","Personal",1,"Varón",11,"4-12","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","Si","Primario / EGB","            ","Privado","97","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",53.2079600765414
7,1,701,70104,"Hogar","Personal",1,"Mujer",34,"31-50","No","97","97","97","97","97","97","Cónyugue","Si","Primario / EGB","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Hogar / Familia","            ","Si",800,"97",97,800,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","98","Sí","               ",5,8,1,5,5,10,10,8,10,1,"No Pobre",52.5230442809888
7,2,702,70208,"Hogar","Persona no encuestada",1,"Varón",34,"31-50","No","97","97","97","97","97","97","Jefe del hogar","No","Primario / EGB","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Trabaja por su cuenta","Trabajador especializado","Privado","            ","Si",1800,"97",97,1800,"Si",8,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Buenas","Sí","               ",5,6,5,7,7,9,9,3,8,1,"No Pobre",52.5230442809888
8,1,801,80100,"Hogar","Personal",1,"Mujer",53,"51-65","Sí","Sí","No","No","No","No","No","Cónyugue","No","Primario / EGB","No","97","            ","97","No","Ama de casa","            ","Si","kioskero  ","Trabaja por su cuenta","Comerciante sin personal","Hogar / Familia","            ","No",97,"97",98,98,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","Bueno","98","Sí","               ",10,10,10,10,9,10,10,8,8,2,"No Pobre",52.5230442809888
8,2,802,80200,"Hogar","Persona no encuestada",1,"Varón",51,"51-65","No","97","97","97","97","97","97","Jefe del hogar","Si","Sin estudios","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Privado","            ","No",97,"97",98,98,"No",97,"Sí","No","No","No","No","No","No","No","No","No","No","No","No","No","            ","Bueno","Buenas","Sí","               ",8,10,6,10,8,8,7,8,7,3,"No Pobre",52.5230442809888
8,3,803,80300,"Hogar","Personal",3,"Mujer",86,"66 ó +","No","97","97","97","97","97","97","Otro pariente","No","Sin estudios","No","97","            ","97","No","Jubilado","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","Regular","Buenas","Sí","               ",9,8,8,8,8,7,8,7,8,1,"No Pobre",52.5230442809888
8,4,804,80405,"Hogar","Persona no encuestada",1,"Varón",23,"19-30","No","97","97","97","97","97","97","Hijo / hijastro","No","Secundario / Polimodal","Si","Superior no universitario","            ","Estatal","Si","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Privado","            ","Si",1800,"97",97,1800,"Si",5,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","98","No","viaja en moto  ",8,8,6,8,6,4,4,8,6,2,"No Pobre",52.5230442809888
